DateStamp,TimeStamp,Name,Category,Price,Description,SoldOut
2022-11-21,17:55:34,automotive,"-20 Degree Windshield Washer Fluid, 1 gal","fluid, Works, in, temperatures, as, low, as, -20&deg;F, Available, under, assorted, brands., Assortment, may, vary, by, store., 1, gal",2.99,False
2022-11-21,17:55:34,christmas-lights,1 Outlet Push-Pin Timer,"outlet, push-pin, timer, Use, to, automate, lamps,, portable, fans, and, seasonal, electrics&nbsp;, Energy, saving, CFL, and, LED, ready, 24, Hour, repeating, cycle, Set, to, turn, on/off, at, same, time, daily, Program, in, 30, minute, intervals, Bypass, programming, with, override, switch",4.99,False
2022-11-21,17:55:34,_prodDefaultCategory0,"1 Subject College Ruled Spiral Notebook, 70 Sheets","spiral, notebook, College, ruled, Available, in, assorted, colors.&nbsp;, Selection, varies, by, store., Dimensions:, 8&quot;, W, x, 10.5&quot;, L, 70, sheets",0.79,False
2022-11-21,17:55:34,BTS-School-and-Office-Supplies,"1 Subject Wide Ruled Wire Notebook, 70 Sheets","wire, notebook, 1, Subject, Available, in, assorted, colors., Selection, varies, by, store., Dimensions:, 8&quot;, W, x, 10.5&quot;, L, 70, sheets",0.79,False
2022-11-21,17:55:34,_prodDefaultCategory0,"1"" x 6' Wooden Plant Stake","stake, Great, alternative, instead, of&nbsp;using, plastic&nbsp;, Wasy, to, install, with, sharp,, chiseled, point, 1&quot;D, x, 6&#39;H",2.5,False
2022-11-21,17:55:34,_prodDefaultCategory0,1-Position Copa High Back Extra-Wide Steel Beach Chair,"back, extra-wide, steel, beach, chair, Molded, plastic, arms, Shoulder, carry, strap, Coated, steel, frame, Available, in, assorted, colors.&nbsp;, Selection, varies, by, store., Weight, capacity:, 300, lbs, Dimensions:, 24.41&quot;, W, x, 15.75&quot;, H, &nbsp;",35.0,False
2022-11-21,17:55:34,storage,"10 gal Storage Tote with Lid, Black","Includes, lid, 10, gal, Black",7.99,False
2022-11-21,17:55:34,snow-removal,10 lb Calcium Chloride Ice Melt,"ice, melt, Our, best, quality!&nbsp;, Effective, to, -25&deg;F, 10, lb, Jug",10.0,False
2022-11-21,17:55:34,snow-removal,"10"" Bear Claw Ice Scraper","ice, scraper, 10&quot;L",1.49,False
2022-11-21,17:55:34,_prodDefaultCategory0,"10"" Mini Bungees, 20-Count","For, light-duty, application, Can, be, used, to, tie, garden, hoses,, electrical, cord,, and, rope, Latex, rubber, core, with, a, polypropylene, braided, jacket, Galvanized, steel, hook, Dimensions, (each, cord):, 10&quot;, L, 20-count",4.29,False
2022-11-21,17:55:34,Seasonal-Out-of-Stock-Outdoor-Decor,"10"" Thai Buddha Statue","Statue, 10&quot;, Tall, Cement, construction, 4.4&quot;, W, x, 4.5&quot;, D, x, 10.4&quot;, H",9.99,False
2022-11-21,17:55:34,kitchen,"10"" Turntable Kitchen Organizer","Kitchen, Organizer&nbsp;, Create, space, in, the, pantry,, cupboard, or, on, the, countertop, Made, from, durable, plastic, Non-slip, base, 10&quot;, x, 10&quot;, x&nbsp;, 1.3&quot;&nbsp;",3.99,False
2022-11-21,17:55:34,doormats,10' No-Slip Coir Ice Runner,"ice, runner, Improves, walking, traction, on, ice, and, snow, Helps, provide, safe,, sure, footing, Great, for, pets, No, need, to, shovel,, salt, or, sand, Constructed, with, coconut, palm, 18&quot;, W, x, 10&#39;, L",12.0,False
2022-11-21,17:55:34,buy-online,10' Offset Patio Umbrella,"Patio, Umbrella, Mfg, #:&nbsp;IT18173, Perfect, for, any, outdoor, area,, patio,, or, backyard, Oval-shaped,, powder-coated, steel, pole, for, high, strength, Rust-resistant, steel, pole, with, 6, supporting, steel, ribs&nbsp;, Features, a, crank&nbsp;system, for, easy, opening, and, closing&nbsp;&nbsp;, Cross-shaped, stand, (requires, weighted, base,, sold, separately), Color, :, Sand&nbsp;, Overall, dimensions:, 10&#39;, Pole, diameter:, 1.65&quot;",79.99,False
2022-11-21,17:55:34,outdoor,10' Offset Patio Umbrella with Solar LED Lights,"Umbrella, with, Solar, LED, Lights, Mfg, #:&nbsp;IT822L, Perfect, for, any, outdoor, area,, patio,, or, backyard, Enjoy, a, cooler, environment, while, adding, style, to, your, outdoors, Solar, LED, lights, Rotates, 360&deg;, for, additional, shading, control, Top-mounted, solar, panel,, powers, lights, for, up, to, 12, hours, All, aluminum,, powder-coated, frame&nbsp;, Push, up, and, crank, open, Dimensions, :, 10&#39;, in, diameter, Umbrella, base, not, included&nbsp;",129.99,False
